date,avg_temp,high_temp
1953/2/1,-3.0,-0.7
1953/2/2,-4.3,-1.7
1953/2/3,-4.8,-2.2
1953/2/4,-5.9,-3.9
1953/2/5,-5.6,-3.7
1953/2/6,-4.6,-2.6
1953/2/7,-3.6,-1.9
1953/2/8,-5.4,-3.7
1953/2/9,-6.4,-5.4
1953/2/10,-3.1,-1.6
1953/2/11,2.3,6.0
1953/2/12,-2.8,-0.1
1953/2/13,-2.9,-1.8
1953/2/14,-4.3,-2.8
1953/2/15,-7.1,-5.4
1953/2/16,-5.5,-3.9
1953/2/17,-5.7,-3.5
1953/2/18,-7.7,-6.0
1953/2/19,-8.1,-6.7
1953/2/20,-7.2,-5.3
1953/2/21,-4.4,-2.8
1953/2/22,-5.5,-4.0
1953/2/23,-1.6,2.1
1953/2/24,2.7,4.2
1953/2/25,-1.7,2.3
1953/2/26,-0.3,1.7
1953/2/27,0.8,3.7
1953/2/28,5.8,8.7
1953/3/1,3.9,7.4
1953/3/2,0.8,2.1
1953/3/3,-0.6,0.3
1953/3/4,-1.6,0.0
1953/3/5,-1.3,1.2
1953/3/6,-0.6,1.7
1953/3/7,2.6,5.6
1953/3/8,1.9,4.6
1953/3/9,1.7,2.5
1953/3/10,1.0,3.3
1953/3/11,-1.6,1.0
1953/3/12,-0.2,1.7
1953/3/13,-1.2,0.9
1953/3/14,0.0,3.2
1953/3/15,-1.4,-0.1
1953/3/16,-2.2,0.1
1953/3/17,-1.1,1.6
1953/3/18,-0.2,2.5
1953/3/19,2.7,5.8
1953/3/20,3.8,5.1
1953/3/21,4.2,7.7
1953/3/22,3.8,7.2
1953/3/23,5.2,8.2
1953/3/24,5.9,11.2
1953/3/25,3.3,5.3
1953/3/26,1.5,3.3
1953/3/27,2.0,3.6
1953/3/28,2.1,4.1
1953/3/29,2.0,5.5
1953/3/30,2.8,5.8
1953/3/31,1.5,5.0
1953/4/1,1.4,5.3
1953/4/2,2.6,4.8
1953/4/3,4.5,7.1
1953/4/4,3.8,5.0
1953/4/5,5.6,8.9
1953/4/6,7.5,10.5
1953/4/7,7.1,12.9
1953/4/8,4.6,7.2
1953/4/9,4.5,6.4
1953/4/10,7.6,11.2
1953/4/11,4.9,7.2
1953/4/12,4.1,7.2
1953/4/13,1.5,3.7
1953/4/14,2.3,3.4
1953/4/15,3.8,7.1
1953/4/16,3.6,7.4
1953/4/17,4.0,7.7
1953/4/18,1.8,5.2
1953/4/19,3.8,6.9
1953/4/20,5.3,8.8
1953/4/21,5.1,8.0
1953/4/22,5.0,8.0
1953/4/23,6.4,10.4
1953/4/24,3.9,5.8
1953/4/25,6.2,8.9
1953/4/26,8.5,13.0
1953/4/27,7.3,10.7
1953/4/28,8.1,11.7
1953/4/29,9.2,12.1
1953/4/30,5.5,8.2
1953/5/1,4.3,7.4
1953/5/2,5.7,10.4
1953/5/3,8.0,11.1
1953/5/4,10.5,13.6
1953/5/5,11.5,16.8
1953/5/6,12.9,16.6
1953/5/7,13.1,17.7
1953/5/8,9.6,12.6
1953/5/9,7.3,8.6
1953/5/10,9.9,15.8
1953/5/11,10.8,14.6
1953/5/12,8.5,11.6
1953/5/13,8.5,10.4
1953/5/14,11.6,16.3
1953/5/15,10.3,13.2
1953/5/16,8.0,11.6
1953/5/17,7.1,10.4
1953/5/18,6.9,9.6
1953/5/19,9.3,14.2
1953/5/20,11.2,15.4
1953/5/21,10.4,14.2
1953/5/22,8.4,11.3
1953/5/23,9.1,10.1
1953/5/24,10.0,11.9
1953/5/25,9.5,12.2
1953/5/26,11.3,14.8
1953/5/27,10.6,13.4
1953/5/28,9.5,12.5
1953/5/29,8.8,11.1
1953/5/30,11.3,14.8
1953/5/31,12.7,16.6
1953/6/1,10.3,11.1
1953/6/2,11.4,13.8
1953/6/3,9.2,11.0
1953/6/4,9.3,12.2
1953/6/5,10.8,12.0
1953/6/6,13.5,18.9
1953/6/7,9.2,9.8
1953/6/8,8.7,9.9
1953/6/9,8.8,10.6
1953/6/10,8.5,10.3
1953/6/11,9.0,10.8
1953/6/12,10.4,13.1
1953/6/13,12.6,17.3
1953/6/14,16.2,19.7
1953/6/15,17.7,22.1
1953/6/16,18.8,21.6
1953/6/17,19.2,24.1
1953/6/18,12.5,16.8
1953/6/19,10.3,11.7
1953/6/20,12.2,14.8
1953/6/21,12.5,14.7
1953/6/22,10.9,13.6
1953/6/23,11.0,13.1
1953/6/24,13.1,15.2
1953/6/25,15.9,18.4
1953/6/26,16.7,18.7
1953/6/27,15.8,19.2
1953/6/28,15.2,18.4
1953/6/29,13.7,16.8
1953/6/30,15.2,19.7
1953/7/1,14.6,17.3
1953/7/2,15.0,19.5
1953/7/3,13.7,15.2
1953/7/4,14.7,17.3
1953/7/5,15.1,15.8
1953/7/6,15.4,18.7
1953/7/7,13.2,13.6
1953/7/8,14.8,15.5
1953/7/9,14.4,15.1
1953/7/10,13.9,15.9
1953/7/11,14.3,16.2
1953/7/12,14.9,17.1
1953/7/13,15.3,17.3
1953/7/14,15.3,16.6
1953/7/15,14.8,15.9
1953/7/16,15.5,17.1
1953/7/17,17.3,20.2
1953/7/18,18.6,20.5
1953/7/19,18.3,21.5
1953/7/20,20.9,23.9
1953/7/21,21.2,25.2
1953/7/22,20.4,22.9
1953/7/23,20.9,24.1
1953/7/24,21.9,25.9
1953/7/25,20.9,21.8
1953/7/26,21.7,24.4
1953/7/27,21.2,23.6
1953/7/28,24.4,28.2
1953/7/29,24.2,28.5
1953/7/30,24.8,28.9
1953/7/31,25.5,28.5
1953/8/1,21.6,24.9
1954/2/1,-1.3,0.6
1954/2/2,0.2,3.1
1954/2/3,0.1,3.1
1954/2/4,-0.8,2.2
1954/2/5,-1.7,0.2
1954/2/6,-0.7,2.8
1954/2/7,0.1,1.3
1954/2/8,-1.2,-0.2
1954/2/9,2.5,4.6
1954/2/10,1.9,4.6
1954/2/11,0.1,1.0
1954/2/12,1.2,5.4
1954/2/13,-4.7,-2.4
1954/2/14,-3.8,-2.8
1954/2/15,-2.5,-0.9
1954/2/16,-2.1,0.7
1954/2/17,-2.1,-0.3
1954/2/18,-5.7,-2.0
1954/2/19,-7.0,-5.6
1954/2/20,-5.2,-3.5
