date,avg_temp,high_temp
1953/2/1,-2.4,0.3
1953/2/2,-0.8,3.3
1953/2/3,-2.2,2.8
1953/2/4,-1.5,2.8
1953/2/5,-1.3,3
1953/2/6,-0.9,3.5
1953/2/7,-0.8,2.9
1953/2/8,-1.7,2
1953/2/9,-0.6,3.9
1953/2/10,0.9,6.2
1953/2/11,6.6,11.6
1953/2/12,5.3,8.9
1953/2/13,1.9,4.8
1953/2/14,-0.2,4.2
1953/2/15,-0.2,4.7
1953/2/16,-1.4,3.5
1953/2/17,-0.1,7.3
1953/2/18,-2.2,1.2
1953/2/19,-2.4,1.8
1953/2/20,-1.6,2.7
1953/2/21,-2.6,-0.7
1953/2/22,-0.8,3.3
1953/2/23,0.2,4.1
1953/2/24,5,12.9
1953/2/25,4.3,8.5
1953/2/26,1.5,6.9
1953/2/27,3.1,10.4
1953/2/28,6.3,13
1953/3/1,9.7,17.7
1953/3/2,4.3,7.8
1953/3/3,5.5,10.5
1953/3/4,3.1,6.9
1953/3/5,3.1,7.1
1953/3/6,1.8,6.2
1953/3/7,5.6,11.9
1953/3/8,7.9,11.8
1953/3/9,6,10.8
1953/3/10,6,12.9
1953/3/11,4.6,6.7
1953/3/12,6.8,11.5
1953/3/13,4,8.9
1953/3/14,4.2,7.8
1953/3/15,4.4,10.1
1953/3/16,3.9,8.3
1953/3/17,2.5,8.1
1953/3/18,2.5,6.9
1953/3/19,4.6,9.9
1953/3/20,5.7,8.1
1953/3/21,7.5,12.7
1953/3/22,5.6,11.8
1953/3/23,7.7,12.3
1953/3/24,8.2,13.7
1953/3/25,8.7,11.7
1953/3/26,7.8,11.6
1953/3/27,6.8,10.3
1953/3/28,7.2,13.1
1953/3/29,3.1,5.4
1953/3/30,6.1,11.6
1953/3/31,5.7,10.8
1953/4/1,6,11.2
1953/4/2,5.1,7.3
1953/4/3,7.7,11.6
1953/4/4,9.6,15.5
1953/4/5,9.2,14.9
1953/4/6,8.7,13.6
1953/4/7,9,15.3
1953/4/8,8,14.3
1953/4/9,8.6,13.9
1953/4/10,12.4,18.6
1953/4/11,9.9,11.8
1953/4/12,7.8,10.5
1953/4/13,5,9.3
1953/4/14,5.2,10
1953/4/15,8.6,13.5
1953/4/16,7.5,13.7
1953/4/17,6.3,12.7
1953/4/18,8.1,14.8
1953/4/19,7.7,15.5
1953/4/20,7.5,14.3
1953/4/21,9.8,16.4
1953/4/22,7.1,14.3
1953/4/23,7.6,14.3
1953/4/24,7.2,12.1
1953/4/25,8.7,15.1
1953/4/26,14.4,23.5
1953/4/27,14.5,22.5
1953/4/28,14.7,19.5
1953/4/29,16.9,22.8
1953/4/30,10,14.8
1953/5/1,9,15.1
1953/5/2,5.8,10.3
1953/5/3,8.1,14
1953/5/4,11.3,17.8
1953/5/5,14,19.4
1953/5/6,14,17.5
1953/5/7,13.3,18.2
1953/5/8,13.8,16.1
1953/5/9,13.6,18.2
1953/5/10,13.2,20.9
1953/5/11,13,16.1
1953/5/12,15.6,19.8
1953/5/13,16.6,20.9
1953/5/14,16.3,19.8
1953/5/15,14.8,21.9
1953/5/16,15.3,22.4
1953/5/17,12.2,18.5
1953/5/18,11.1,13.5
1953/5/19,12.3,16.3
1953/5/20,13.7,20
1953/5/21,14.8,22.1
1953/5/22,14.7,19.6
1953/5/23,15,17.8
1953/5/24,15.4,20.1
1953/5/25,15.4,20.5
1953/5/26,16.7,21.8
1953/5/27,18.3,24.8
1953/5/28,14.8,18.8
1953/5/29,13.9,15.5
1953/5/30,16.9,21
1953/5/31,16,19.7
1954/2/1,-1.8,3
1954/2/2,0.2,6
1954/2/3,-0.3,7.1
1954/2/4,0.3,7.5
1954/2/5,0.8,7.6
1954/2/6,0.6,6.6
1954/2/7,1.9,7.9
1954/2/8,1,5.8
1954/2/9,1.8,8.3
1954/2/10,6,13.9
1954/2/11,7.2,15.4
1954/2/12,6.8,15.7
1954/2/13,3,6.1
1954/2/14,0,1.9
1954/2/15,2.6,7.2
1954/2/16,4.3,8.3
1954/2/17,4.2,6.9
1954/2/18,1.4,5.3
1954/2/19,-1.3,4.3
1954/2/20,1.2,7.5
1954/2/21,0.4,8.3
1954/2/22,-1.3,3.9
1954/2/23,2.3,9.8
1954/2/24,5.9,11.6
1954/2/25,7.3,15.1
1954/2/26,9.3,16.7
1954/2/27,9,10
1954/2/28,10.7,16.4
1954/3/1,6.2,10.3
1954/3/2,6.9,9.5
1954/3/3,4.2,8.3
1954/3/4,-0.8,0.7
1954/3/5,-0.8,3.9
1954/3/6,-0.6,3.9
1954/3/7,-0.9,0
1954/3/8,0.8,5.7
1954/3/9,1.4,6.5
1954/3/10,2.2,6.7
1954/3/11,0.1,1.7
1954/3/12,5,9.3
1954/3/13,0.4,4.1
